,Run,TrialN,ProcedureID,Procedure,Font,ITISec,target1,target2,target3,target4,Expected_Response
0,8.0,0.0,0,Null,Arial,14.0,,,,,0
40,8.0,1.0,2,AudProc,Arial,8.0,pool,wall,ground,mass,0
27,8.0,2.0,2,AudProc,Arial,10.0,foot,game,soil,wide,0
64,8.0,3.0,3,FalVisProc,Wingdings,8.0,stay,stand,b`yak,d`o^,0
69,8.0,4.0,3,FalVisProc,Wingdings,8.0,sto^,movy,tu`n,tu`n,1
18,8.0,5.0,1,VisProc,Arial,8.0,curse,drink,light,cup,0
15,8.0,6.0,1,VisProc,Arial,8.0,cool,fear,trail,worm,0
87,8.0,7.0,4,FalAudProc,Arial,8.0,post_fal,roof_fal,wild_fal,choice_fal,0
90,8.0,8.0,4,FalAudProc,Arial,12.0,lost_fal,chief_fal,clean_fal,park_fal,0
43,8.0,9.0,2,AudProc,Arial,10.0,charge,fast,huge,seek,0
49,8.0,10.0,3,FalVisProc,Wingdings,10.0,s^ot,b`iyf,d`ink,a`m,0
67,8.0,11.0,3,FalVisProc,Wingdings,8.0,zall,book,d`ivy,zhyzk,0
85,8.0,12.0,4,FalAudProc,Arial,8.0,build_fal,chair_fal,cold_fal,deal_fal,0
5,8.0,13.0,1,VisProc,Arial,8.0,cart,dance,flesh,sheep,0
84,8.0,14.0,4,FalAudProc,Arial,8.0,gross_fal,start_fal,plan_fal,sleep_fal,0
32,8.0,15.0,2,AudProc,Arial,8.0,pull,dress,late,nine,0
31,8.0,16.0,2,AudProc,Arial,8.0,full,draw,fort,vote,0
38,8.0,17.0,2,AudProc,Arial,10.0,snow,fine,stage,stage,1
59,8.0,18.0,3,FalVisProc,Wingdings,8.0,fi_ht,s^ynd,b`own,^oin,0
77,8.0,19.0,4,FalAudProc,Arial,8.0,pool_fal,wall_fal,firm_fal,rich_fal,0
79,8.0,20.0,4,FalAudProc,Arial,14.0,foot_fal,game_fal,soil_fal,wide_fal,0
48,8.0,21.0,3,FalVisProc,Wingdings,10.0,t`uy,_`ass,th`oa,fo`t,0
21,8.0,22.0,1,VisProc,Arial,10.0,curb,flash,front,pick,0
7,8.0,23.0,1,VisProc,Arial,8.0,cross,save,herd,seal,0
92,8.0,24.0,4,FalAudProc,Arial,8.0,art_fal,bit_fal,spring_fal,spring_fal,1
17,8.0,25.0,1,VisProc,Arial,10.0,floor,joke,spot,stay,0
35,8.0,26.0,2,AudProc,Arial,12.0,claim,play,tree,smile,0
46,8.0,27.0,2,AudProc,Arial,16.0,staff,march,ship,ship,1
11,8.0,28.0,1,VisProc,Arial,10.0,camp,flare,speak,hall,0
95,8.0,29.0,4,FalAudProc,Arial,8.0,staff_fal,march_fal,ship_fal,ship_fal,1
57,8.0,30.0,3,FalVisProc,Wingdings,12.0,blozk,hall,`yazh,fya`,0
61,8.0,31.0,3,FalVisProc,Wingdings,14.0,twizy,`uly,^izk,`ozk,0
39,8.0,32.0,2,AudProc,Arial,12.0,build,chair,cold,deal,0
86,8.0,33.0,4,FalAudProc,Arial,10.0,trade_fal,feed_fal,step_fal,wife_fal,0
3,8.0,34.0,1,VisProc,Arial,10.0,clay,flea,lawn,lawn,1
75,8.0,35.0,4,FalAudProc,Arial,8.0,charge_fal,fast_fal,huge_fal,seek_fal,0
70,8.0,36.0,3,FalVisProc,Wingdings,8.0,fyyl,zhan_y,ho^y,daty,0
22,8.0,37.0,1,VisProc,Arial,8.0,shout,drop,hug,hug,1
72,8.0,38.0,4,FalAudProc,Arial,12.0,claim_fal,tree_fal,smile_fal,play_fal,0
23,8.0,39.0,1,VisProc,Arial,10.0,gain,join,birth,fight,0
9,8.0,40.0,1,VisProc,Arial,16.0,beat,plug,judge,track,0
88,8.0,41.0,4,FalAudProc,Arial,8.0,length_fal,plus_fal,sweet_fal,walk_fal,0
63,8.0,42.0,3,FalVisProc,Wingdings,8.0,fo`zy,viyw,lya`n,st`o_,0
20,8.0,43.0,1,VisProc,Arial,10.0,plate,rule,soft,spend,0
37,8.0,44.0,2,AudProc,Arial,12.0,rear,band,guess,safe,0
47,8.0,45.0,2,AudProc,Arial,14.0,slow,land,bank,girl,0
71,8.0,46.0,3,FalVisProc,Wingdings,10.0,sya`z,nya`,f`ont,lyavy,0
45,8.0,47.0,2,AudProc,Arial,8.0,trade,feed,step,wife,0
50,8.0,48.0,3,FalVisProc,Wingdings,18.0,laky,soft,bi`th,bi`th,1
