,Run,TrialN,ProcedureID,Procedure,Font,ITISec,target1,target2,target3,target4,Expected_Response
0,9.0,0.0,0,Null,Arial,0.0, , , , ,0
43,7.0,1.0,2,AudProc,Arial,8.0,charge,fast,huge,seek,0
72,7.0,2.0,4,FalAudProc,Arial,8.0,claim_fal,tree_fal,smile_fal,play_fal,0
39,7.0,3.0,2,AudProc,Arial,8.0,build,chair,cold,deal,0
86,7.0,4.0,4,FalAudProc,Arial,8.0,trade_fal,feed_fal,step_fal,wife_fal,0
47,7.0,5.0,2,AudProc,Arial,8.0,slow,land,bank,girl,0
77,7.0,6.0,4,FalAudProc,Arial,8.0,pool_fal,wall_fal,firm_fal,rich_fal,0
45,7.0,7.0,2,AudProc,Arial,8.0,trade,feed,step,wife,0
85,7.0,8.0,4,FalAudProc,Arial,8.0,build_fal,chair_fal,cold_fal,deal_fal,0
28,7.0,9.0,2,AudProc,Arial,8.0,post,roof,wild,choice,0
78,7.0,10.0,4,FalAudProc,Arial,8.0,sick_fal,strike_fal,wish_fal,please_fal,0
76,7.0,11.0,4,FalAudProc,Arial,8.0,rear_fal,band_fal,guess_fal,safe_fal,0
31,7.0,12.0,2,AudProc,Arial,8.0,full,draw,fort,vote,0
74,7.0,13.0,4,FalAudProc,Arial,8.0,mass_fal,ground_fal,wheel_fal,wheel_fal,1
75,7.0,14.0,4,FalAudProc,Arial,8.0,charge_fal,fast_fal,huge_fal,seek_fal,0
36,7.0,15.0,2,AudProc,Arial,8.0,length,plus,sweet,walk,0
38,7.0,16.0,2,AudProc,Arial,8.0,snow,fine,stage,stage,1
83,7.0,17.0,4,FalAudProc,Arial,8.0,dark_fal,shape_fal,list_fal,list_fal,1
82,7.0,18.0,4,FalAudProc,Arial,8.0,late_fal,nine_fal,pull_fal,dress_fal,0
29,7.0,19.0,2,AudProc,Arial,8.0,love,jazz,truck,truck,1
56,7.0,20.0,3,FalVisProc,Arial,8.0,sho^,hill,stony,byat,0
88,7.0,21.0,4,FalAudProc,Arial,8.0,length_fal,plus_fal,sweet_fal,walk_fal,0
24,7.0,22.0,2,AudProc,Arial,8.0,please,sick,strike,wish,0
35,7.0,23.0,2,AudProc,Arial,8.0,claim,play,tree,smile,0
30,7.0,24.0,2,AudProc,Arial,8.0,gross,start,plan,sleep,0
84,7.0,25.0,4,FalAudProc,Arial,8.0,gross_fal,start_fal,plan_fal,sleep_fal,0
0,9.0,26.0,0,Null,Arial,0.0, , , , ,0
