,Run,TrialN,ProcedureID,Procedure,Font,ITISec,target1,target2,target3,target4,Expected_Response
0,1.0,0.0,0,Null,Arial,14.0, , , , ,0
13,1.0,1.0,1,VisProc,Arial,10.0,glare,foam,storm,wig,0
16,1.0,2.0,1,VisProc,Arial,12.0,bribe,fund,plum,shell,0
76,1.0,3.0,4,FalAudProc,Arial,8.0,rear_fal,band_fal,guess_fal,safe_fal,0
74,1.0,4.0,4,FalAudProc,Arial,12.0,mass_fal,ground_fal,wheel_fal,wheel_fal,1
7,1.0,5.0,1,VisProc,Arial,8.0,cross,save,herd,seal,0
32,1.0,6.0,2,AudProc,Arial,10.0,pull,dress,late,nine,0
77,1.0,7.0,4,FalAudProc,Arial,10.0,pool_fal,wall_fal,firm_fal,rich_fal,0
61,1.0,8.0,3,FalVisProc,Wingdings,12.0,twizy,`uly,^izk,`ozk,0
38,1.0,9.0,2,AudProc,Arial,8.0,snow,fine,stage,stage,1
11,1.0,10.0,1,VisProc,Arial,8.0,camp,flare,speak,hall,0
66,1.0,11.0,3,FalVisProc,Wingdings,8.0,son_,food,sha`y,b`in_,0
79,1.0,12.0,4,FalAudProc,Arial,8.0,foot_fal,game_fal,soil_fal,wide_fal,0
92,1.0,13.0,4,FalAudProc,Arial,12.0,art_fal,bit_fal,spring_fal,spring_fal,1
2,1.0,14.0,1,VisProc,Arial,8.0,mug,frame,hill,hill,1
57,1.0,15.0,3,FalVisProc,Wingdings,8.0,blozk,hall,`yazh,fya`,0
70,1.0,16.0,3,FalVisProc,Wingdings,10.0,fyyl,zhan_y,ho^y,daty,0
33,1.0,17.0,2,AudProc,Arial,8.0,film,nice,trust,trust,1
82,1.0,18.0,4,FalAudProc,Arial,14.0,late_fal,nine_fal,pull_fal,dress_fal,0
8,1.0,19.0,1,VisProc,Arial,10.0,bar,force,mouse,sheet,0
91,1.0,20.0,4,FalAudProc,Arial,12.0,full_fal,draw_fal,fort_fal,vote_fal,0
14,1.0,21.0,1,VisProc,Arial,10.0,risk,stand,talk,talk,1
10,1.0,22.0,1,VisProc,Arial,8.0,hen,share,tap,well,0
71,1.0,23.0,3,FalVisProc,Wingdings,10.0,sya`z,nya`,f`ont,lyavy,0
43,1.0,24.0,2,AudProc,Arial,8.0,charge,fast,huge,seek,0
68,1.0,25.0,3,FalVisProc,Wingdings,16.0,tyst,s^azy,tyam,zost,0
63,1.0,26.0,3,FalVisProc,Wingdings,8.0,fo`zy,viyw,lya`n,st`o_,0
30,1.0,27.0,2,AudProc,Arial,8.0,gross,start,plan,sleep,0
47,1.0,28.0,2,AudProc,Arial,8.0,slow,land,bank,girl,0
64,1.0,29.0,3,FalVisProc,Wingdings,16.0,stay,stand,b`yak,d`o^,0
86,1.0,30.0,4,FalAudProc,Arial,8.0,trade_fal,feed_fal,step_fal,wife_fal,0
18,1.0,31.0,1,VisProc,Arial,8.0,curse,drink,light,cup,0
37,1.0,32.0,2,AudProc,Arial,8.0,rear,band,guess,safe,0
75,1.0,33.0,4,FalAudProc,Arial,14.0,charge_fal,fast_fal,huge_fal,seek_fal,0
28,1.0,34.0,2,AudProc,Arial,10.0,post,roof,wild,choice,0
73,1.0,35.0,4,FalAudProc,Arial,10.0,desk_fal,trip_fal,gold_fal,text_fal,0
15,1.0,36.0,1,VisProc,Arial,8.0,cool,fear,trail,worm,0
90,1.0,37.0,4,FalAudProc,Arial,10.0,lost_fal,chief_fal,clean_fal,park_fal,0
48,1.0,38.0,3,FalVisProc,Wingdings,12.0,t`uy,_`ass,th`oa,fo`t,0
49,1.0,39.0,3,FalVisProc,Wingdings,10.0,s^ot,b`iyf,d`ink,a`m,0
84,1.0,40.0,4,FalAudProc,Arial,8.0,gross_fal,start_fal,plan_fal,sleep_fal,0
42,1.0,41.0,2,AudProc,Arial,10.0,lost,chief,clean,park,0
6,1.0,42.0,1,VisProc,Arial,8.0,duck,jog,loose,tack,0
40,1.0,43.0,2,AudProc,Arial,8.0,pool,wall,ground,mass,0
20,1.0,44.0,1,VisProc,Arial,14.0,plate,rule,soft,spend,0
65,1.0,45.0,3,FalVisProc,Wingdings,10.0,savy,zhild,wyst,wyst,1
69,1.0,46.0,3,FalVisProc,Wingdings,8.0,sto^,movy,tu`n,tu`n,1
39,1.0,47.0,2,AudProc,Arial,8.0,build,chair,cold,deal,0
27,1.0,48.0,2,AudProc,Arial,18.0,foot,game,soil,wide,0
0,1.0,49.0,0,Null,Arial,0.0, , , , ,0
