-- run 1 events --
class               start      dur     rest
-----               -----     ----     ----
  2 (AudWord)       12.00     4.00     4.00
  1 (FalVisWord)    20.00     4.00     6.00
  3 (FalAudWord)    30.00     4.00     4.00
  0 (VisWord)       38.00     4.00     4.00
  2 (AudWord)       46.00     4.00     4.00
  1 (FalVisWord)    54.00     4.00    10.00
  2 (AudWord)       68.00     4.00    12.00
  2 (AudWord)       84.00     4.00     4.00
  3 (FalAudWord)    92.00     4.00     6.00
  1 (FalVisWord)   102.00     4.00     4.00
  0 (VisWord)      110.00     4.00     4.00
  1 (FalVisWord)   118.00     4.00     4.00
  3 (FalAudWord)   126.00     4.00     4.00
  3 (FalAudWord)   134.00     4.00     4.00
  0 (VisWord)      142.00     4.00     8.00
  3 (FalAudWord)   154.00     4.00     4.00
  3 (FalAudWord)   162.00     4.00     4.00
  2 (AudWord)      170.00     4.00     4.00
  0 (VisWord)      178.00     4.00    12.00
  2 (AudWord)      194.00     4.00     4.00
  0 (VisWord)      202.00     4.00     4.00
  0 (VisWord)      210.00     4.00    10.00
  3 (FalAudWord)   224.00     4.00     8.00
  0 (VisWord)      236.00     4.00     8.00
  2 (AudWord)      248.00     4.00     4.00
  1 (FalVisWord)   256.00     4.00     4.00
  1 (FalVisWord)   264.00     4.00     4.00
  1 (FalVisWord)   272.00     4.00     4.00
  2 (AudWord)      280.00     4.00     4.00
  0 (VisWord)      288.00     4.00     6.00
  2 (AudWord)      298.00     4.00     4.00
  3 (FalAudWord)   306.00     4.00     6.00
  2 (AudWord)      316.00     4.00     6.00
  0 (VisWord)      326.00     4.00     4.00
  0 (VisWord)      334.00     4.00     4.00
  1 (FalVisWord)   342.00     4.00     6.00
  3 (FalAudWord)   352.00     4.00     4.00
  3 (FalAudWord)   360.00     4.00    12.00
  0 (VisWord)      376.00     4.00     4.00
  1 (FalVisWord)   384.00     4.00     4.00
  0 (VisWord)      392.00     4.00     4.00
  1 (FalVisWord)   400.00     4.00     6.00
  1 (FalVisWord)   410.00     4.00     6.00
  3 (FalAudWord)   420.00     4.00     4.00
  2 (AudWord)      428.00     4.00     4.00
  3 (FalAudWord)   436.00     4.00     6.00
  1 (FalVisWord)   446.00     4.00     6.00
  1 (FalVisWord)   456.00     4.00     4.00
  0 (VisWord)      464.00     4.00    12.00
  1 (FalVisWord)   480.00     4.00     4.00
  0 (VisWord)      488.00     4.00     4.00
  2 (AudWord)      496.00     4.00     4.00
  2 (AudWord)      504.00     4.00     4.00
  3 (FalAudWord)   512.00     4.00     4.00
  1 (FalVisWord)   520.00     4.00     4.00
  2 (AudWord)      528.00     4.00     4.00
  3 (FalAudWord)   536.00     4.00     4.00
  3 (FalAudWord)   544.00     4.00     4.00
  0 (VisWord)      552.00     4.00     4.00
  1 (FalVisWord)   560.00     4.00     6.00
  3 (FalAudWord)   570.00     4.00    10.00
  3 (FalAudWord)   584.00     4.00     4.00
  1 (FalVisWord)   592.00     4.00     4.00
  2 (AudWord)      600.00     4.00     8.00
  0 (VisWord)      612.00     4.00     4.00
  2 (AudWord)      620.00     4.00     4.00
  0 (VisWord)      628.00     4.00     6.00
  2 (AudWord)      638.00     4.00     0.00

-- run 2 events --
class               start      dur     rest
-----               -----     ----     ----
  3 (FalAudWord)    12.00     4.00     6.00
  2 (AudWord)       22.00     4.00     6.00
  1 (FalVisWord)    32.00     4.00     6.00
  3 (FalAudWord)    42.00     4.00     4.00
  0 (VisWord)       50.00     4.00     6.00
  2 (AudWord)       60.00     4.00     6.00
  0 (VisWord)       70.00     4.00    12.00
  3 (FalAudWord)    86.00     4.00     4.00
  3 (FalAudWord)    94.00     4.00     6.00
  2 (AudWord)      104.00     4.00     4.00
  3 (FalAudWord)   112.00     4.00     6.00
  0 (VisWord)      122.00     4.00     4.00
  0 (VisWord)      130.00     4.00    12.00
  3 (FalAudWord)   146.00     4.00     4.00
  2 (AudWord)      154.00     4.00     8.00
  0 (VisWord)      166.00     4.00     4.00
  1 (FalVisWord)   174.00     4.00     6.00
  2 (AudWord)      184.00     4.00     6.00
  2 (AudWord)      194.00     4.00     4.00
  2 (AudWord)      202.00     4.00     4.00
  1 (FalVisWord)   210.00     4.00     4.00
  2 (AudWord)      218.00     4.00     6.00
  3 (FalAudWord)   228.00     4.00     6.00
  1 (FalVisWord)   238.00     4.00     8.00
  0 (VisWord)      250.00     4.00     4.00
  0 (VisWord)      258.00     4.00     4.00
  3 (FalAudWord)   266.00     4.00     6.00
  1 (FalVisWord)   276.00     4.00    14.00
  1 (FalVisWord)   294.00     4.00     4.00
  0 (VisWord)      302.00     4.00     4.00
